trial_id,task,mutation_category,original_instruction,mutated_instruction,success,distance_to_target,episode_length,timestamp,seed,notes
0,widowx_put_eggplant_in_basket,baseline,put eggplant into yellow basket,put eggplant into yellow basket,True,,45,2026-01-21T17:37:10.514425,0,distance_to_target unavailable
1,widowx_put_eggplant_in_basket,baseline,put eggplant into yellow basket,put eggplant into yellow basket,True,,54,2026-01-21T17:37:44.676063,1,distance_to_target unavailable
2,widowx_put_eggplant_in_basket,baseline,put eggplant into yellow basket,put eggplant into yellow basket,True,,51,2026-01-21T17:38:17.871022,2,distance_to_target unavailable
3,widowx_put_eggplant_in_basket,baseline,put eggplant into yellow basket,put eggplant into yellow basket,False,,120,2026-01-21T17:39:06.025664,3,distance_to_target unavailable
4,widowx_put_eggplant_in_basket,baseline,put eggplant into yellow basket,put eggplant into yellow basket,True,,56,2026-01-21T17:39:40.758418,4,distance_to_target unavailable
5,widowx_put_eggplant_in_basket,baseline,put eggplant into yellow basket,put eggplant into yellow basket,True,,68,2026-01-21T17:40:17.659460,5,distance_to_target unavailable
6,widowx_put_eggplant_in_basket,baseline,put eggplant into yellow basket,put eggplant into yellow basket,False,,120,2026-01-21T17:41:07.072276,6,distance_to_target unavailable
7,widowx_put_eggplant_in_basket,baseline,put eggplant into yellow basket,put eggplant into yellow basket,False,,120,2026-01-21T17:41:55.795386,7,distance_to_target unavailable
8,widowx_put_eggplant_in_basket,baseline,put eggplant into yellow basket,put eggplant into yellow basket,False,,120,2026-01-21T17:42:44.402295,8,distance_to_target unavailable
9,widowx_put_eggplant_in_basket,baseline,put eggplant into yellow basket,put eggplant into yellow basket,True,,58,2026-01-21T17:43:19.626882,9,distance_to_target unavailable
10,widowx_stack_cube,baseline,stack the green block on the yellow block,stack the green block on the yellow block,False,,60,2026-01-21T17:43:54.153517,0,distance_to_target unavailable
11,widowx_stack_cube,baseline,stack the green block on the yellow block,stack the green block on the yellow block,False,,60,2026-01-21T17:44:29.990199,1,distance_to_target unavailable
12,widowx_stack_cube,baseline,stack the green block on the yellow block,stack the green block on the yellow block,False,,60,2026-01-21T17:45:04.846459,2,distance_to_target unavailable
13,widowx_stack_cube,baseline,stack the green block on the yellow block,stack the green block on the yellow block,False,,60,2026-01-21T17:45:39.561310,3,distance_to_target unavailable
14,widowx_stack_cube,baseline,stack the green block on the yellow block,stack the green block on the yellow block,False,,60,2026-01-21T17:46:14.610030,4,distance_to_target unavailable
15,widowx_stack_cube,baseline,stack the green block on the yellow block,stack the green block on the yellow block,False,,60,2026-01-21T17:46:48.963575,5,distance_to_target unavailable
16,widowx_stack_cube,baseline,stack the green block on the yellow block,stack the green block on the yellow block,False,,60,2026-01-21T17:47:24.101346,6,distance_to_target unavailable
17,widowx_stack_cube,baseline,stack the green block on the yellow block,stack the green block on the yellow block,False,,60,2026-01-21T17:47:58.646489,7,distance_to_target unavailable
18,widowx_stack_cube,baseline,stack the green block on the yellow block,stack the green block on the yellow block,True,,51,2026-01-21T17:48:32.110265,8,distance_to_target unavailable
19,widowx_stack_cube,baseline,stack the green block on the yellow block,stack the green block on the yellow block,False,,60,2026-01-21T17:49:06.948350,9,distance_to_target unavailable
20,widowx_carrot_on_plate,baseline,put carrot on plate,put carrot on plate,False,,60,2026-01-21T17:49:42.172070,0,distance_to_target unavailable
21,widowx_carrot_on_plate,baseline,put carrot on plate,put carrot on plate,False,,60,2026-01-21T17:50:16.690206,1,distance_to_target unavailable
22,widowx_carrot_on_plate,baseline,put carrot on plate,put carrot on plate,False,,60,2026-01-21T17:50:51.647813,2,distance_to_target unavailable
23,widowx_carrot_on_plate,baseline,put carrot on plate,put carrot on plate,False,,60,2026-01-21T17:51:26.850045,3,distance_to_target unavailable
24,widowx_carrot_on_plate,baseline,put carrot on plate,put carrot on plate,False,,60,2026-01-21T17:52:01.765694,4,distance_to_target unavailable
25,widowx_carrot_on_plate,baseline,put carrot on plate,put carrot on plate,False,,60,2026-01-21T17:52:36.916116,5,distance_to_target unavailable
26,widowx_carrot_on_plate,baseline,put carrot on plate,put carrot on plate,False,,60,2026-01-21T17:53:11.493225,6,distance_to_target unavailable
27,widowx_carrot_on_plate,baseline,put carrot on plate,put carrot on plate,False,,60,2026-01-21T17:53:46.225955,7,distance_to_target unavailable
28,widowx_carrot_on_plate,baseline,put carrot on plate,put carrot on plate,False,,60,2026-01-21T17:54:21.823123,8,distance_to_target unavailable
29,widowx_carrot_on_plate,baseline,put carrot on plate,put carrot on plate,False,,60,2026-01-21T17:54:56.492225,9,distance_to_target unavailable
0,widowx_put_eggplant_in_basket,baseline,put eggplant into yellow basket,put eggplant into yellow basket,True,,56,2026-01-21T18:40:07.932024,0,distance_to_target unavailable
1,widowx_put_eggplant_in_basket,baseline,put eggplant into yellow basket,put eggplant into yellow basket,True,,35,2026-01-21T18:40:26.664163,1,distance_to_target unavailable
2,widowx_put_eggplant_in_basket,baseline,put eggplant into yellow basket,put eggplant into yellow basket,True,,59,2026-01-21T18:40:47.834377,2,distance_to_target unavailable
3,widowx_put_eggplant_in_basket,baseline,put eggplant into yellow basket,put eggplant into yellow basket,False,,120,2026-01-21T18:41:13.841357,3,distance_to_target unavailable
4,widowx_put_eggplant_in_basket,baseline,put eggplant into yellow basket,put eggplant into yellow basket,True,,59,2026-01-21T18:41:35.175425,4,distance_to_target unavailable
5,widowx_put_eggplant_in_basket,baseline,put eggplant into yellow basket,put eggplant into yellow basket,True,,55,2026-01-21T18:41:55.524876,5,distance_to_target unavailable
6,widowx_put_eggplant_in_basket,baseline,put eggplant into yellow basket,put eggplant into yellow basket,False,,120,2026-01-21T18:42:21.428806,6,distance_to_target unavailable
7,widowx_put_eggplant_in_basket,baseline,put eggplant into yellow basket,put eggplant into yellow basket,True,,45,2026-01-21T18:42:41.959415,7,distance_to_target unavailable
8,widowx_put_eggplant_in_basket,baseline,put eggplant into yellow basket,put eggplant into yellow basket,False,,120,2026-01-21T18:43:07.947298,8,distance_to_target unavailable
9,widowx_put_eggplant_in_basket,baseline,put eggplant into yellow basket,put eggplant into yellow basket,True,,55,2026-01-21T18:43:28.314340,9,distance_to_target unavailable
10,widowx_stack_cube,baseline,stack the green block on the yellow block,stack the green block on the yellow block,False,,60,2026-01-21T18:43:49.374033,0,distance_to_target unavailable
11,widowx_stack_cube,baseline,stack the green block on the yellow block,stack the green block on the yellow block,False,,60,2026-01-21T18:44:09.786309,1,distance_to_target unavailable
12,widowx_stack_cube,baseline,stack the green block on the yellow block,stack the green block on the yellow block,False,,60,2026-01-21T18:44:30.729705,2,distance_to_target unavailable
13,widowx_stack_cube,baseline,stack the green block on the yellow block,stack the green block on the yellow block,False,,60,2026-01-21T18:44:50.945688,3,distance_to_target unavailable
